tickers,PT,PX,DY,BT,MC
1697067D UN Equity,31.889,27.63,2.1716,1.1362,31601.1514
1715651D UN Equity,33.421,31.9852,5.1274,1.0933,30428.5884
AA UN Equity,35.208,36.1016,0.9972,1.4546000000000001,15706.9722
AKS UN Equity,22.667,21.35,0.9368,1.8037999999999998,2334.964
APD UN Equity,84.746,74.9403,2.4019,1.0401,17187.8728
ARG UN Equity,56.556,47.6,1.5126,1.1192,3908.3169
ATI UN Equity,38.286,44.77,1.6082,1.4957,4390.8716
BLL UN Equity,14.528,12.925,0.7737,0.9122,4865.1305
BMS UN Equity,30.8,29.65,3.0354,0.9267,3208.0351
CF UN Equity,18.52,18.156,0.4406,1.2066,4408.1498
CLF UN Equity,49.688,45.8165,0.7639,1.8269,6036.6423
ECL UN Equity,48.875,44.58,1.3908,0.8931,10590.1798
EMN UN Equity,32.714,30.12,2.9215999999999998,1.0916,4379.8817
FCX UN Equity,46.523,37.8495,0.7926,1.4288,34514.872
FMC UN Equity,28.02,24.1606,1.0347,1.2852000000000001,4031.4537
IFF UN Equity,44.167,41.14,2.4307,0.862,3251.8208
IP UN Equity,28.666,26.4011,0.3788,1.2692,11598.2784
MON UN Equity,87.909,81.75,1.2966,0.9841,44558.2457
MWV UN Equity,24.542,24.7673,3.7146,1.1533,4899.701
NEM UN Equity,57.691,46.159,0.8666,0.7825,23335.4498
NUE UN Equity,47.167,46.65,3.0868,1.3567,14686.0444
OI UN Equity,41.7,32.87,NA,1.1644,5538.9371
PPG UN Equity,32.75,29.27,3.6898,1.041,9775.3198
PTV UN Equity,30.833,24.14,NA,0.8693,3194.1203
PX UN Equity,89.308,80.31,1.9923,1.0459,24639.8545
SEE UN Equity,22.444,21.86,2.1958,1.0175,3474.8657
SIAL UW Equity,58.25,50.53,1.1478,0.983,6149.2383
TIE UN Equity,8.25,12.52,4.0928,1.5072,2253.8642
VMC UN Equity,53.25,52.67,1.8986,1.081,6604.855
WY UN Equity,19.519,15.9535,0.5131,1.1764999999999999,9117.971
X UN Equity,41,55.12,0.3628,1.5916000000000001,7901.4742
